Source.Name,Country,County,Basin,GOM,DrillFor,Location,State/Province,Trajectory,Year,Month,US_PublishDate,Rig Count Value
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,1,1/5/2024,9
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,1,1/12/2024,8
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,1,1/19/2024,8
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,3,3/15/2024,8
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,3,3/22/2024,8
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,11,11/7/2025,8
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,10,10/4/2024,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,10,10/11/2024,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2024,10,10/18/2024,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,5,5/9/2025,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,5,5/16/2025,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,5,5/23/2025,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,5,5/30/2025,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,6,6/6/2025,5
02.06.2026 Baker Hughes Rig File.xlsx,UNITED STATES,MISSISSIPPI CANYON,Other,Yes,Oil,Offshore,LOUISIANA,Directional,2025,6,6/13/2025,5
